Date,Cases,New_cases
3/2020,1482877,1396855
4/2020,3281736,1798859
5/2020,6188463,2906727
6/2020,10458098,4269635
7/2020,17603582,7145484
8/2020,25507557,7903975
9/2020,34012248,8504691
10/2020,46147377,12135129
11/2020,63427899,17280522
12/2020,83635018,20207119
1/2021,103097961,19462943
2/2021,113946620,10848659
3/2021,128970266,15023646
4/2021,150598529,21628263
5/2021,170810073,20211544
6/2021,181888509,11078436
7/2021,197453162,15564653
7/2021,217249144,19795982
9/2021,233817106,16567962
10/2021,246429566,12612460
11/2021,254992462,8562896
